"","Group","Site","d15N","d13C","FG","base_N","TP_calc"
"140","Homophylax","NFTC",-0.46,-20.86,"Consumer",-2.22857142857143,2.52016806722689
"141","Homophylax","NFTC",-0.71,-20.58,"Consumer",-2.22857142857143,2.44663865546219
"142","Turbellaria","NFTC",4.66,-24.8,"Consumer",-2.22857142857143,4.02605042016807
"143","Turbellaria","NFTC",4.44,-23.39,"Consumer",-2.22857142857143,3.96134453781513
"144","Turbellaria","NFTC",4.49,-23.6,"Consumer",-2.22857142857143,3.97605042016807
"145","Megarcys","NFTC",-0.5,-22.53,"Consumer",-2.22857142857143,2.50840336134454
"146","Megarcys","NFTC",-0.35,-22.4,"Consumer",-2.22857142857143,2.55252100840336
"147","Allomyia","NFTC",-1.65,-22.16,"Consumer",-2.22857142857143,2.17016806722689
"148","Rhyacophila","NFTC",-0.48,-20.79,"Consumer",-2.22857142857143,2.51428571428571
"149","Rhyacophila","WindCave",2.15,-32.96,"Consumer",-1.09285714285714,2.95378151260504
"150","Megarcys","WindCave",0.38,-33.4,"Consumer",-1.09285714285714,2.43319327731092
"151","Megarcys","WindCave",-0.16,-32.61,"Consumer",-1.09285714285714,2.27436974789916
"152","Zapada","WindCave",-0.2,-32.6,"Consumer",-1.09285714285714,2.26260504201681
"153","Zapada","WindCave",0.03,-32.45,"Consumer",-1.09285714285714,2.33025210084034
"154","Allomyia","WindCave",-0.36,-33,"Consumer",-1.09285714285714,2.2155462184874
"155","Zapada","WindCave",-0.17,-32.11,"Consumer",-1.09285714285714,2.27142857142857
"156","Zapada","WindCave",-0.08,-31.98,"Consumer",-1.09285714285714,2.29789915966387
"157","Zapada","WindCave",0.07,-31.6,"Consumer",-1.09285714285714,2.34201680672269
"158","Megarcys","WindCave",2.41,-30.48,"Consumer",-1.09285714285714,3.03025210084034
"159","Zapada","WindCave",-0.19,-35.69,"Consumer",-1.09285714285714,2.26554621848739
"160","Zapada","WindCave",-0.17,-34.95,"Consumer",-1.09285714285714,2.27142857142857
"161","Zapada","WindCave",-0.28,-35.03,"Consumer",-1.09285714285714,2.2390756302521
"162","Megarcys","WindCave",2,-32.07,"Consumer",-1.09285714285714,2.90966386554622
"163","Midges","Delta",-3.17,-23.11,"Baseline",-2.75375,1.87757352941176
"164","Midges","Delta",-2.86,-23.93,"Baseline",-2.75375,1.96875
"165","Midges","Delta",-2.74,-23.52,"Baseline",-2.75375,2.00404411764706
"166","Midges","Delta",-2.63,-23.39,"Baseline",-2.75375,2.03639705882353
"167","Midges","Delta",-3.16,-23.11,"Baseline",-2.75375,1.88051470588235
"168","Megarcys","WindCave",0.33,-31.43,"Consumer",-1.09285714285714,2.41848739495798
"169","Megarcys","WindCave",0.34,-29.95,"Consumer",-1.09285714285714,2.42142857142857
"170","Megarcys","WindCave",-0.1,-30.78,"Consumer",-1.09285714285714,2.29201680672269
"171","Megarcys","WindCave",-0.26,-32.5,"Consumer",-1.09285714285714,2.24495798319328
"172","Rhyacophila","WindCave",3.28,-28.36,"Consumer",-1.09285714285714,3.28613445378151
"173","Rhyacophila","WindCave",2.13,-31.28,"Consumer",-1.09285714285714,2.94789915966387
"174","Zapada","WindCave",-0.07,-31.93,"Consumer",-1.09285714285714,2.30084033613445
"175","Zapada","WindCave",-0.13,-30.02,"Consumer",-1.09285714285714,2.28319327731092
"176","Zapada","WindCave",0.36,-33.66,"Consumer",-1.09285714285714,2.42731092436975
"177","Rhyacophila","WindCave",2.69,-30.9,"Consumer",-1.09285714285714,3.11260504201681
"178","Rhyacophila","WindCave",2.52,-33.79,"Consumer",-1.09285714285714,3.06260504201681
"179","Rhyacophila","WindCave",2.44,-31.03,"Consumer",-1.09285714285714,3.0390756302521
"180","Rhyacophila","WindCave",2.08,-32.27,"Consumer",-1.09285714285714,2.93319327731092
"181","Allomyia","SFTC",0.55,-26.51,"Consumer",-0.154285714285714,2.20714285714286
"182","Allomyia","SFTC",0.4,-25.83,"Consumer",-0.154285714285714,2.16302521008403
"183","Baetidae","SFTC",1.11,-24.41,"Consumer",-0.154285714285714,2.3718487394958
"184","Baetidae","SFTC",1.08,-23.29,"Consumer",-0.154285714285714,2.36302521008403
"185","Baetidae","SFTC",0.91,-22.24,"Consumer",-0.154285714285714,2.31302521008403
"186","Baetidae","SFTC",0.91,-22.79,"Consumer",-0.154285714285714,2.31302521008403
"187","Cinygmula","SFTC",1.11,-24.39,"Consumer",-0.154285714285714,2.3718487394958
"188","Cinygmula","SFTC",0.95,-25.06,"Consumer",-0.154285714285714,2.32478991596639
"189","Cinygmula","SFTC",1.33,-24.82,"Consumer",-0.154285714285714,2.43655462184874
"190","Cinygmula","SFTC",0.83,-24.62,"Consumer",-0.154285714285714,2.28949579831933
"191","Cinygmula","SFTC",0.85,-25.34,"Consumer",-0.154285714285714,2.2953781512605
"192","Cinygmula","SFTC",0.51,-26.43,"Consumer",-0.154285714285714,2.1953781512605
"193","Cinygmula","SFTC",0.55,-26.69,"Consumer",-0.154285714285714,2.20714285714286
"194","Epeorus","SFTC",0.4,-26.08,"Consumer",-0.154285714285714,2.16302521008403
"195","Epeorus","SFTC",0.89,-24.69,"Consumer",-0.154285714285714,2.30714285714286
"196","Epeorus","SFTC",0.51,-23.88,"Consumer",-0.154285714285714,2.1953781512605
"197","Epeorus","SFTC",0.43,-23.04,"Consumer",-0.154285714285714,2.1718487394958
"198","Epeorus","SFTC",-0.51,-26.63,"Consumer",-0.154285714285714,1.8953781512605
"199","Epeorus","SFTC",1.75,-25.51,"Consumer",-0.154285714285714,2.56008403361345
"200","Epeorus","SFTC",2.03,-27.07,"Consumer",-0.154285714285714,2.64243697478992
"201","Epeorus","SFTC",0.51,-25.35,"Consumer",-0.154285714285714,2.1953781512605
"202","Epeorus","SFTC",0.58,-25.33,"Consumer",-0.154285714285714,2.21596638655462
"203","Megarcys","SFTC",1.09,-22.61,"Consumer",-0.154285714285714,2.36596638655462
"204","Megarcys","SFTC",1.24,-23.25,"Consumer",-0.154285714285714,2.41008403361345
"205","Midges","SFTC",-0.13,-18.47,"Baseline",-0.154285714285714,2.00714285714286
"206","Midges","SFTC",0.09,-23.77,"Baseline",-0.154285714285714,2.0718487394958
"207","Midges","SFTC",-0.22,-22.52,"Baseline",-0.154285714285714,1.98067226890756
"208","Midges","SFTC",0.03,-23.97,"Baseline",-0.154285714285714,2.05420168067227
"209","Midges","SFTC",-0.23,-23.72,"Baseline",-0.154285714285714,1.97773109243697
"210","Midges","SFTC",-0.33,-22.53,"Baseline",-0.154285714285714,1.94831932773109
"211","Midges","SFTC",-0.29,-21.9,"Baseline",-0.154285714285714,1.96008403361345
"212","Turbellaria","SFTC",4.84,-24.08,"Consumer",-0.154285714285714,3.46890756302521
"213","Turbellaria","SFTC",4.81,-24.04,"Consumer",-0.154285714285714,3.46008403361345
"214","Turbellaria","SFTC",4.69,-24.47,"Consumer",-0.154285714285714,3.42478991596639
"215","Rhyacophila","SFTC",2.29,-23.52,"Consumer",-0.154285714285714,2.71890756302521
"216","Rhyacophila","SFTC",3.08,-23.71,"Consumer",-0.154285714285714,2.95126050420168
"217","Rhyacophila","SFTC",2.99,-23.45,"Consumer",-0.154285714285714,2.92478991596639
"218","Rhyacophila","SFTC",-0.16,-23.8,"Consumer",-0.154285714285714,1.99831932773109
"219","Rhyacophila","SFTC",2.9,-23.47,"Consumer",-0.154285714285714,2.89831932773109
"220","Rhyacophila","SFTC",2.19,-24.12,"Consumer",-0.154285714285714,2.68949579831933
"221","Simuliidae","SFTC",0.88,-24.27,"Consumer",-0.154285714285714,2.30420168067227
"222","Simuliidae","SFTC",0.47,-24.34,"Consumer",-0.154285714285714,2.18361344537815
"223","Megarcys","AKBasin",2.87,-30.13,"Consumer",-0.22,2.90882352941177
"224","Megarcys","AKBasin",2.65,-26.66,"Consumer",-0.22,2.84411764705882
"225","Megarcys","AKBasin",2.45,-29.4,"Consumer",-0.22,2.78529411764706
"226","Megarcys","AKBasin",3,-25.65,"Consumer",-0.22,2.94705882352941
"227","Megarcys","AKBasin",2.9,-26.86,"Consumer",-0.22,2.91764705882353
"228","Sweltsa","AKBasin",3.53,-29.37,"Consumer",-0.22,3.10294117647059
"229","Sweltsa","AKBasin",4.26,-26.44,"Consumer",-0.22,3.31764705882353
"230","Sweltsa","AKBasin",2.23,-32.58,"Consumer",-0.22,2.72058823529412
"231","Sweltsa","AKBasin",2.44,-31.4,"Consumer",-0.22,2.78235294117647
"232","Tipula","AKBasin",-0.62,-31.81,"Consumer",-0.22,1.88235294117647
"233","Tipula","AKBasin",-0.71,-30.45,"Consumer",-0.22,1.85588235294118
"234","Tipula","AKBasin",-0.99,-31.08,"Consumer",-0.22,1.77352941176471
"235","Baetidae","AKBasin",1.13,-29.98,"Consumer",-0.22,2.39705882352941
"236","Baetidae","AKBasin",1.45,-32.16,"Consumer",-0.22,2.49117647058824
"237","Allomyia","AKBasin",-0.14,-33.97,"Baseline",-0.22,2.02352941176471
"238","Allomyia","AKBasin",-0.21,-33.69,"Baseline",-0.22,2.00294117647059
"239","Allomyia","AKBasin",-0.61,-34.83,"Baseline",-0.22,1.88529411764706
"240","Baetidae","AKBasin",1.78,-28.68,"Consumer",-0.22,2.58823529411765
"241","Baetidae","AKBasin",1.61,-30.03,"Consumer",-0.22,2.53823529411765
"242","Zapada","AKBasin",-0.24,-31.77,"Consumer",-0.22,1.99411764705882
"243","Zapada","AKBasin",-0.04,-32.74,"Consumer",-0.22,2.05294117647059
"244","Zapada","AKBasin",0.05,-28.9,"Consumer",-0.22,2.07941176470588
"245","Zapada","AKBasin",-0.11,-31.91,"Consumer",-0.22,2.03235294117647
"246","Zapada","AKBasin",0.21,-31.95,"Consumer",-0.22,2.12647058823529
"247","Heptageniidae","AKBasin",0.53,-32.47,"Consumer",-0.22,2.22058823529412
"248","Heptageniidae","AKBasin",0.21,-32.46,"Consumer",-0.22,2.12647058823529
"249","Homophylax","AKBasin",0.8,-29.04,"Consumer",-0.22,2.3
"250","Simuliidae","SFTC",1.03,-24.83,"Consumer",-0.154285714285714,2.34831932773109
"251","Simuliidae","SFTC",0.9,-24.7,"Consumer",-0.154285714285714,2.31008403361345
"252","Simuliidae","SFTC",0.82,-24.58,"Consumer",-0.154285714285714,2.28655462184874
"253","Simuliidae","SFTC",0.81,-24.8,"Consumer",-0.154285714285714,2.28361344537815
"254","Sweltsa","SFTC",2.94,-24.4,"Consumer",-0.154285714285714,2.91008403361345
"255","Sweltsa","SFTC",3,-23.54,"Consumer",-0.154285714285714,2.92773109243698
"256","Midges","Cloudveil",-1.54,-21.19,"Baseline",-1.69,2.04411764705882
"257","Midges","Cloudveil",-1.8,-21.65,"Baseline",-1.69,1.96764705882353
"258","Midges","Cloudveil",-1.62,-21.09,"Baseline",-1.69,2.02058823529412
"259","Midges","Cloudveil",-1.94,-22.1,"Baseline",-1.69,1.92647058823529
"260","Midges","Cloudveil",-1.55,-20.64,"Baseline",-1.69,2.04117647058824
"261","Sweltsa","SFTC",2.47,-23.87,"Consumer",-0.154285714285714,2.7718487394958
"262","Sweltsa","SFTC",3.47,-24.85,"Consumer",-0.154285714285714,3.06596638655462
"263","Sweltsa","SFTC",2.3,-23.43,"Consumer",-0.154285714285714,2.7218487394958
"264","Simuliidae","Paintbrush",-1.39,-23.11,"Consumer",-2.70166666666667,2.38578431372549
"265","Simuliidae","Paintbrush",-1.45,-23.73,"Consumer",-2.70166666666667,2.36813725490196
"266","Simuliidae","Paintbrush",-1.27,-22.79,"Consumer",-2.70166666666667,2.42107843137255
"267","Simuliidae","Paintbrush",-1.34,-22.76,"Consumer",-2.70166666666667,2.40049019607843
"268","Simuliidae","Paintbrush",-1.46,-22.64,"Consumer",-2.70166666666667,2.36519607843137
"269","Simuliidae","Paintbrush",-1.34,-22.92,"Consumer",-2.70166666666667,2.40049019607843
"270","Midges","Paintbrush",-2.67,-17.57,"Baseline",-2.70166666666667,2.0093137254902
"271","Midges","Paintbrush",-2.51,-19.09,"Baseline",-2.70166666666667,2.05637254901961
"272","Midges","Paintbrush",-2.71,-18.83,"Baseline",-2.70166666666667,1.99754901960784
"273","Midges","Paintbrush",-2.79,-17.53,"Baseline",-2.70166666666667,1.97401960784314
"274","Midges","Paintbrush",-2.77,-19.53,"Baseline",-2.70166666666667,1.97990196078431
"275","Midges","Paintbrush",-2.76,-21.02,"Baseline",-2.70166666666667,1.9828431372549
"276","Midges","WindCave",-0.93,-35.51,"Baseline",-1.09285714285714,2.04789915966387
"277","Midges","WindCave",-0.87,-32.92,"Baseline",-1.09285714285714,2.0655462184874
"278","Midges","WindCave",-0.95,-34.43,"Baseline",-1.09285714285714,2.04201680672269
"279","Turbellaria","WindCave",4.96,-31.59,"Consumer",-1.09285714285714,3.78025210084034
"280","Turbellaria","WindCave",5.08,-32.17,"Consumer",-1.09285714285714,3.8155462184874
"281","Turbellaria","WindCave",4.86,-30.51,"Consumer",-1.09285714285714,3.75084033613445
"282","Turbellaria","AKBasin",4.88,-30.22,"Consumer",-0.22,3.5
"283","Turbellaria","AKBasin",4.92,-30.19,"Consumer",-0.22,3.51176470588235
"284","Midges","Delta",-2.31,-23.47,"Baseline",-2.75375,2.13051470588235
"285","Midges","Delta",-2.49,-23.13,"Baseline",-2.75375,2.07757352941176
"286","Midges","Delta",-2.67,-19.82,"Baseline",-2.75375,2.02463235294118
"287","Turbellaria","Grizzly",4.39,-23.43,"Consumer",-0.21,3.35294117647059
"288","Turbellaria","Grizzly",4.34,-22.33,"Consumer",-0.21,3.33823529411765
"289","Turbellaria","Grizzly",4.4,-23.33,"Consumer",-0.21,3.35588235294118
"290","Simuliidae","Grizzly",0.41,-23.96,"Consumer",-0.21,2.18235294117647
"291","Simuliidae","Grizzly",-0.13,-24.56,"Consumer",-0.21,2.02352941176471
"292","Simuliidae","Grizzly",0.19,-23.98,"Consumer",-0.21,2.11764705882353
"293","Simuliidae","Grizzly",0.06,-24.63,"Consumer",-0.21,2.07941176470588
"294","Simuliidae","Grizzly",0.12,-24.73,"Consumer",-0.21,2.09705882352941
"295","Simuliidae","Grizzly",0.21,-25.09,"Consumer",-0.21,2.12352941176471
"296","Midges","Grizzly",0.04,-23.43,"Consumer",-0.21,2.07352941176471
"297","Simuliidae","Grizzly",-0.07,-24.93,"Consumer",-0.21,2.04117647058824
"298","Turbellaria","Delta",1.42,-22.7,"Consumer",-2.75375,3.22757352941176
"299","Turbellaria","Delta",1.21,-21.51,"Consumer",-2.75375,3.16580882352941
"300","Rhyacophila","Delta",-0.21,-23.6,"Consumer",-2.75375,2.74816176470588
"301","Rhyacophila","Delta",0.43,-22.86,"Consumer",-2.75375,2.93639705882353
"302","Lednia","Delta",-2.17,-22.92,"Consumer",-2.75375,2.17169117647059
"303","Lednia","Delta",-0.58,-23.84,"Consumer",-2.75375,2.63933823529412
"304","Megarcys","Delta",-0.82,-23,"Consumer",-2.75375,2.56875
"305","Megarcys","Delta",-0.49,-23.12,"Consumer",-2.75375,2.66580882352941
"306","Rhyacophila","Delta",-0.13,-22.75,"Consumer",-2.75375,2.77169117647059
"307","Rhyacophila","Delta",0.13,-22.36,"Consumer",-2.75375,2.84816176470588
"308","Baetidae","Delta",-0.52,-22.47,"Consumer",-2.75375,2.65698529411765
"309","Baetidae","Delta",-0.14,-21.91,"Consumer",-2.75375,2.76875
"310","Baetidae","Delta",-0.42,-22.49,"Consumer",-2.75375,2.68639705882353
"311","Baetidae","Delta",1,-21.48,"Consumer",-2.75375,3.10404411764706
"312","Ameletidae","Delta",-1.05,-22.65,"Consumer",-2.75375,2.50110294117647
