sample_id,rep,date,date2,type,group,group2,site,d15N,d13C,per_N,per_C,C_N_ratio,below_threshold,FG,FG2,Comments,
252,,20-Aug,A,food,CPOM/Plant,Leaf detritus,Delta,-3.32,-29.19,2.78,43.42,15.64,n,,,,
255,,20-Aug,A,food,CPOM/Plant,Grass detritus,Delta,-3.24,-28.37,2.41,48.58,20.13,n,,,,
257,,20-Aug,A,food,CPOM/Plant,needle detritus,Wind Cave,-4.08,-26.94,0.51,49.95,98.64,n,,,,
263,,20-Aug,A,food,CPOM/Plant,needle detritus,Delta,-4.2,-27.36,0.98,49.09,49.87,n,,,,
272,,20-Aug,A,food,CPOM/Plant,needle detritus,Paintbrush,-3.85,-26.89,1.58,47.65,30.25,n,,,,
274,,20-Aug,A,food,Hydrurus,Hydrurus,Delta,-5.99,-22.13,5.34,29.58,5.54,n,,,,
275,,20-Aug,A,food,CPOM/Plant,needle detritus,Delta,-6.4,-27.52,0.67,49.73,74.61,n,,,,
283,,20-Aug,A,food,Moss,Moss,Grizzly,-4.08,-23.75,2.09,36.85,17.66,n,,,,
283-D,,20-Aug,A,food,Moss,,Grizzly,-4.08,-23.6,2.11,37.31,17.71,,,,,
286,,20-Aug,A,food,Pikapoop,Pika poop,Grizzly,-1.19,-27.91,1.79,43.66,24.4,n,,,,
286,,20-Aug,A,food,Pikapoop,Pika poop,Grizzly,-1.22,-27.92,1.77,43.25,24.48,n,,,,
288,,20-Aug,A,food,CPOM/Plant,needle detritus,Delta,-3.72,-27.83,0.75,50.71,67.92,n,,,,
296,,20-Aug,A,food,Moss,Moss,Grizzly,-1.22,-23.72,2.29,37.88,16.57,n,,,,
296-D,,20-Aug,A,food,Moss,,Grizzly,-1.12,-23.56,2.44,38.02,15.61,,,,,
301,,20-Aug,A,food,CPOM/Plant,needle detritus,Grizzly,-4.18,-25.18,1.03,52.01,50.48,n,,,,
302,,20-Aug,A,food,Moss,Moss,Delta,-3.2,-26.5,0.81,26.28,32.55,n,,,,
302-D,,20-Aug,A,food,Moss,,Delta,-2.95,-26.39,0.81,26.24,32.54,,,,,
307,,20-Aug,A,food,Lichen,Lichen,Grizzly,-5.07,-24.37,4.88,42.04,8.61,n,,,,
314,,20-Aug,A,food,FPOM,FPOM,Grizzly,-0.31,-23.28,0.61,5.96,9.84,n,,,,
315,,20-Aug,,food,Pika poop,Pika poop,NFTC,-2.21,-27.81,1.31,43.4,33.12,n,,,,
